"FID","Shape","OBJECTID","FID_Jornad","ecosite1","ecosite2","ecosite3","SUM_Shape_","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape1","Shape_Leng","Shape_Area","GeneralizedStateNumber"
32,"Polygon",33,3,"Clayey","Bottomland","Loamy",13244532.45,57,"PLMU3"," "," ",397142.9198,4271.94225,322818.6455,1
33,"Polygon",34,3,"Clayey","Bottomland","Loamy",13244532.45,59,"PLMU3","MUPO2","FLCE",83113.45844,1026.419849,46079.36455,1
34,"Polygon",35,3,"Clayey","Bottomland","Loamy",13244532.45,62,"PLMU3","PRGL2","SCBR2",403110.3252,4577.055202,306235.455,1
35,"Polygon",36,3,"Clayey","Bottomland","Loamy",13244532.45,63,"PLMU3","SCBR2"," ",1297601.537,7874.724762,1004225.873,1
36,"Polygon",37,3,"Clayey","Bottomland","Loamy",13244532.45,64,"PLMU3","SCBR2","FLCE",261641.6974,3899.927547,197717.1075,2
37,"Polygon",38,3,"Clayey","Bottomland","Loamy",13244532.45,67,"PLMU3","SCBR2","PRGL2",1165251.326,5495.195897,596680.9422,4
38,"Polygon",39,3,"Clayey","Bottomland","Loamy",13244532.45,69,"PLMU3","SCBR2","YUEL",91283.96066,1419.792873,91283.96066,1
39,"Polygon",40,3,"Clayey","Bottomland","Loamy",13244532.45,83,"PRGL2","PLMU3"," ",2662502.849,11558.35724,2259589.95,1
40,"Polygon",41,3,"Clayey","Bottomland","Loamy",13244532.45,86,"PRGL2","PLMU3","SCBR2",7980669.164,7188.973838,589617.5591,4
41,"Polygon",42,3,"Clayey","Bottomland","Loamy",13244532.45,87,"PRGL2","PLMU3","SPAI",2179474.814,11355.72799,745387.8781,1
42,"Polygon",43,3,"Clayey","Bottomland","Loamy",13244532.45,89,"PRGL2","SCBR2"," ",418134.7967,1943.401958,151694.599,1
43,"Polygon",44,3,"Clayey","Bottomland","Loamy",13244532.45,91,"PRGL2","SCBR2","PLMU3",5336197.438,1048.650648,20656.75381,1
44,"Polygon",45,3,"Clayey","Bottomland","Loamy",13244532.45,100,"PRGL2","YUEL","SPFL2",6825353.19,1038.605512,20999.02709,1
45,"Polygon",46,3,"Clayey","Bottomland","Loamy",13244532.45,101,"PRGL2"," "," ",57616084.18,4059.916344,228940.3313,1
46,"Polygon",47,3,"Clayey","Bottomland","Loamy",13244532.45,113,"PRGL2","BOER4","GUSA2",1846261.913,7318.495581,313114.0752,1
47,"Polygon",48,3,"Clayey","Bottomland","Loamy",13244532.45,118,"PRGL2","GUSA2"," ",29724873.71,5857.986601,298466.5165,1
48,"Polygon",49,3,"Clayey","Bottomland","Loamy",13244532.45,119,"PRGL2","GUSA2","YUEL",1955386.284,1218.911748,42143.14593,1
49,"Polygon",50,3,"Clayey","Bottomland","Loamy",13244532.45,129,"PRGL2","YUEL","ARPU9",410110.9343,2558.255982,334689.4665,1
50,"Polygon",51,3,"Clayey","Bottomland","Loamy",13244532.45,137,"PSSC6","YUEL","SPFL2",1601384.945,324.940122,1999.102819,2
51,"Polygon",52,3,"Clayey","Bottomland","Loamy",13244532.45,138,"SCBR2"," "," ",1911456.447,1303.317825,37528.89651,1
52,"Polygon",53,3,"Clayey","Bottomland","Loamy",13244532.45,146,"SCBR2","KOSP","PRGL2",751580.3347,2738.201554,279730.9312,1
53,"Polygon",54,3,"Clayey","Bottomland","Loamy",13244532.45,153,"SCBR2","PRGL2","PLMU3",108854.5017,898.997194,31408.06697,1
54,"Polygon",55,3,"Clayey","Bottomland","Loamy",13244532.45,158,"SPAI"," "," ",154524.0585,1519.193616,153334.2313,1
55,"Polygon",56,4,"Deep sand"," "," ",2729747.304,54,"LATR2","PRGL2","FLCE",25483520.6,264.103969,927.008917,5
56,"Polygon",57,4,"Deep sand"," "," ",2729747.304,101,"PRGL2"," "," ",57616084.18,1128.004877,10110.26645,2
57,"Polygon",58,4,"Deep sand"," "," ",2729747.304,132,"PRGL2","ATCA2"," ",61344184.43,14149.63684,1895268.145,2
58,"Polygon",59,4,"Deep sand"," "," ",2729747.304,133,"PRGL2","GUSA2"," ",39354090.54,521.990602,5882.063435,2
59,"Polygon",60,5,"Deep sand","Sandy","Shallow sandy",89212440.7,1,"ARFI2","PRGL2","ARPU9",848488.8688,6514.815172,385875.6478,5
60,"Polygon",61,5,"Deep sand","Sandy","Shallow sandy",89212440.7,12,"DAFO","LATR2","COWA",189431.8893,498.776463,6883.777371,5
61,"Polygon",62,5,"Deep sand","Sandy","Shallow sandy",89212440.7,13,"DAFO","LATR2","PAIN2",813255.1138,7295.500206,293160.1467,5
62,"Polygon",63,5,"Deep sand","Sandy","Shallow sandy",89212440.7,14,"DAFO","PAIN2","LATR2",568781.1563,4831.774444,114193.8228,3
63,"Polygon",64,5,"Deep sand","Sandy","Shallow sandy",89212440.7,38,"LATR2"," "," ",814026.9469,11951.71135,750592.4735,2
64,"Polygon",65,5,"Deep sand","Sandy","Shallow sandy",89212440.7,43,"LATR2","FLCE","PLMU3",43342492.31,22197.18548,660876.1824,2
65,"Polygon",66,5,"Deep sand","Sandy","Shallow sandy",89212440.7,44,"LATR2","FLCE","PRGL2",4058201.27,21708.48167,2223131.503,2
66,"Polygon",67,5,"Deep sand","Sandy","Shallow sandy",89212440.7,46,"LATR2","FLCE","SCBR2",977810.0217,5266.901171,612200.0633,2
67,"Polygon",68,5,"Deep sand","Sandy","Shallow sandy",89212440.7,49,"LATR2","MUPO2","PRGL2",188565.3255,2860.615082,188565.3255,2
68,"Polygon",69,5,"Deep sand","Sandy","Shallow sandy",89212440.7,52,"LATR2","PRGL2","FLCE",47405692.14,12683.15451,1947747.058,2
69,"Polygon",70,5,"Deep sand","Sandy","Shallow sandy",89212440.7,53,"LATR2","PRGL2"," ",9460687.824,32367.04669,5952961.532,2
70,"Polygon",71,5,"Deep sand","Sandy","Shallow sandy",89212440.7,54,"LATR2","PRGL2","FLCE",25483520.6,43776.13058,14601456.03,2
71,"Polygon",72,5,"Deep sand","Sandy","Shallow sandy",89212440.7,56,"LATR2","THAC","PAIN2",1442818.27,6283.000618,54701.44591,2
72,"Polygon",73,5,"Deep sand","Sandy","Shallow sandy",89212440.7,101,"PRGL2"," "," ",57616084.18,8995.647907,1178521.797,2
73,"Polygon",74,5,"Deep sand","Sandy","Shallow sandy",89212440.7,102,"PRGL2","ARFI2","ATCA2",1621466.198,11513.78585,1205963.432,2
74,"Polygon",75,5,"Deep sand","Sandy","Shallow sandy",89212440.7,103,"PRGL2","ARFI2","QUERCUS",4103591.474,28596.24335,3358987.622,2
75,"Polygon",76,5,"Deep sand","Sandy","Shallow sandy",89212440.7,104,"PRGL2","ARFI2","SPFL2",508125.8644,3604.814802,490245.412,2
76,"Polygon",77,5,"Deep sand","Sandy","Shallow sandy",89212440.7,109,"PRGL2","ATCA2","GUSA2",6681452.926,12629.51229,1840776.833,2
77,"Polygon",78,5,"Deep sand","Sandy","Shallow sandy",89212440.7,117,"PRGL2","FLCE","LATR2",1520696.644,8343.226451,1269164.577,2
78,"Polygon",79,5,"Deep sand","Sandy","Shallow sandy",89212440.7,120,"PRGL2","LATR2"," ",1142044.095,1375.631279,97284.10315,2
79,"Polygon",80,5,"Deep sand","Sandy","Shallow sandy",89212440.7,121,"PRGL2","LATR2","FLCE",2844662.926,1913.873776,166554.2575,2
80,"Polygon",81,5,"Deep sand","Sandy","Shallow sandy",89212440.7,122,"PRGL2","LATR2","MIACB",835431.4023,4253.315207,835431.4023,2
81,"Polygon",82,5,"Deep sand","Sandy","Shallow sandy",89212440.7,131,"PRGL2"," "," ",455271.0698,2265.060678,226523.7078,2
82,"Polygon",83,5,"Deep sand","Sandy","Shallow sandy",89212440.7,132,"PRGL2","ATCA2"," ",61344184.43,63359.46441,42491719.78,2
83,"Polygon",84,5,"Deep sand","Sandy","Shallow sandy",89212440.7,133,"PRGL2","GUSA2"," ",39354090.54,8023.206933,2748821.866,2
84,"Polygon",85,6,"Deep sand","Shallow sandy"," ",27251884.96,36,"GUSA2","PRGL2","YUEL",40364.32574,787.41562,39905.9693,6
85,"Polygon",86,6,"Deep sand","Shallow sandy"," ",27251884.96,80,"PRGL2","GUSA2"," ",254274.3534,1570.038827,65258.89878,2
86,"Polygon",87,6,"Deep sand","Shallow sandy"," ",27251884.96,101,"PRGL2"," "," ",57616084.18,31733.99069,9784264.966,2
87,"Polygon",88,6,"Deep sand","Shallow sandy"," ",27251884.96,105,"PRGL2","ARPU9"," ",7035118.013,8018.060493,3415992.652,2
88,"Polygon",89,6,"Deep sand","Shallow sandy"," ",27251884.96,112,"PRGL2","ATCA2","YUEL",938874.3449,3304.255842,426152.976,2
89,"Polygon",90,6,"Deep sand","Shallow sandy"," ",27251884.96,118,"PRGL2","GUSA2"," ",29724873.71,23142.2719,6982646.66,2
90,"Polygon",91,6,"Deep sand","Shallow sandy"," ",27251884.96,130,"PRGL2","YUEL","GUSA2",12676395.23,21712.28685,6435035.888,2
91,"Polygon",92,6,"Deep sand","Shallow sandy"," ",27251884.96,165,"YUEL","PRGL2"," ",414716.4026,4133.139313,70369.80855,6
92,"Polygon",93,7,"Deep sand","Shallow sandy","Deep sand",16796.14723,80,"PRGL2","GUSA2"," ",254274.3534,776.241592,16796.14723,2
93,"Polygon",94,8,"Deep sand","Shallow sandy","Shallow sandy",490190.8801,36,"GUSA2","PRGL2","YUEL",40364.32574,306.085307,458.356769,6
94,"Polygon",95,8,"Deep sand","Shallow sandy","Shallow sandy",490190.8801,80,"PRGL2","GUSA2"," ",254274.3534,670.484435,7821.979367,2
95,"Polygon",96,8,"Deep sand","Shallow sandy","Shallow sandy",490190.8801,118,"PRGL2","GUSA2"," ",29724873.71,1328.732145,39800.78582,2
96,"Polygon",97,8,"Deep sand","Shallow sandy","Shallow sandy",490190.8801,130,"PRGL2","YUEL","GUSA2",12676395.23,6314.786064,155163.0849,2
97,"Polygon",98,8,"Deep sand","Shallow sandy","Shallow sandy",490190.8801,165,"YUEL","PRGL2"," ",414716.4026,4929.389762,286946.6731,6
98,"Polygon",99,10,"Draw","No ecosite"," ",5763852.348,1,"ARFI2","PRGL2","ARPU9",848488.8688,1650.555481,44190.9707,4
99,"Polygon",100,10,"Draw","No ecosite"," ",5763852.348,14,"DAFO","PAIN2","LATR2",568781.1563,238.705104,1252.793263,4
100,"Polygon",101,10,"Draw","No ecosite"," ",5763852.348,38,"LATR2"," "," ",814026.9469,632.024659,8373.363512,2
101,"Polygon",102,10,"Draw","No ecosite"," ",5763852.348,43,"LATR2","FLCE","PLMU3",43342492.31,448.686702,7516.370058,2
102,"Polygon",103,10,"Draw","No ecosite"," ",5763852.348,44,"LATR2","FLCE","PRGL2",4058201.27,314.702739,4395.212262,2
103,"Polygon",104,10,"Draw","No ecosite"," ",5763852.348,48,"LATR2","MUPO2","PRGL2",1829154.863,2493.316608,20758.46063,2
104,"Polygon",105,10,"Draw","No ecosite"," ",5763852.348,52,"LATR2","PRGL2","FLCE",47405692.14,7764.325476,266937.5624,2
105,"Polygon",106,10,"Draw","No ecosite"," ",5763852.348,53,"LATR2","PRGL2"," ",9460687.824,17968.10874,891419.0033,2
106,"Polygon",107,10,"Draw","No ecosite"," ",5763852.348,54,"LATR2","PRGL2","FLCE",25483520.6,1907.33667,42493.34576,2
107,"Polygon",108,10,"Draw","No ecosite"," ",5763852.348,56,"LATR2","THAC","PAIN2",1442818.27,325.934843,897.638267,2
108,"Polygon",109,10,"Draw","No ecosite"," ",5763852.348,101,"PRGL2"," "," ",57616084.18,606.551328,5690.666257,2
109,"Polygon",110,10,"Draw","No ecosite"," ",5763852.348,102,"PRGL2","ARFI2","ATCA2",1621466.198,2233.232817,74463.34966,2
110,"Polygon",111,10,"Draw","No ecosite"," ",5763852.348,103,"PRGL2","ARFI2","QUERCUS",4103591.474,8355.736883,272860.5063,2
111,"Polygon",112,10,"Draw","No ecosite"," ",5763852.348,109,"PRGL2","ATCA2","GUSA2",6681452.926,2478.619348,123489.4675,2
112,"Polygon",113,10,"Draw","No ecosite"," ",5763852.348,132,"PRGL2","ATCA2"," ",61344184.43,15212.70745,993327.1378,2
113,"Polygon",114,10,"Draw","No ecosite"," ",5763852.348,133,"PRGL2","GUSA2"," ",39354090.54,245.717339,1425.665243,2
114,"Polygon",115,11,"Draw","Shallow sandy"," ",151870.5168,52,"LATR2","PRGL2","FLCE",47405692.14,5489.134445,150207.805,2
115,"Polygon",116,12,"Gravelly"," "," ",13255713.34,54,"LATR2","PRGL2","FLCE",25483520.6,1329.537279,16340.01953,5
116,"Polygon",117,12,"Gravelly"," "," ",13255713.34,56,"LATR2","THAC","PAIN2",1442818.27,9967.134741,1119884.251,5
117,"Polygon",118,12,"Gravelly"," "," ",13255713.34,102,"PRGL2","ARFI2","ATCA2",1621466.198,1400.858766,8611.810302,2
118,"Polygon",119,12,"Gravelly"," "," ",13255713.34,103,"PRGL2","ARFI2","QUERCUS",4103591.474,8121.445284,116492.4041,2
119,"Polygon",120,13,"Gravelly","Loamy"," ",25616949.89,22,"FLCE","LATR2","PLMU3",2217269.929,3856.705936,17460.47539,2
120,"Polygon",121,13,"Gravelly","Loamy"," ",25616949.89,23,"FLCE","LATR2","PRGL2",106827.5527,2140.066443,24319.46763,2
121,"Polygon",122,13,"Gravelly","Loamy"," ",25616949.89,27,"FLCE","PLMU3","PRGL2",1053634.346,779.206181,11000.72103,2
122,"Polygon",123,13,"Gravelly","Loamy"," ",25616949.89,39,"LATR2","COWA","MUPO2",51968.02194,934.258164,51968.02194,5
123,"Polygon",124,13,"Gravelly","Loamy"," ",25616949.89,43,"LATR2","FLCE","PLMU3",43342492.31,8058.4053,114720.8215,5
124,"Polygon",125,13,"Gravelly","Loamy"," ",25616949.89,48,"LATR2","MUPO2","PRGL2",1829154.863,7450.053177,1555559.889,5
125,"Polygon",126,13,"Gravelly","Loamy"," ",25616949.89,50,"LATR2","PLMU3","SCBR2",629345.0185,1453.286734,6994.592117,5
126,"Polygon",127,13,"Gravelly","Loamy"," ",25616949.89,51,"LATR2","PRGL2","COWA",23182.94504,1111.778534,23182.94504,5
127,"Polygon",128,13,"Gravelly","Loamy"," ",25616949.89,52,"LATR2","PRGL2","FLCE",47405692.14,63037.0858,10991577.5,5
128,"Polygon",129,13,"Gravelly","Loamy"," ",25616949.89,55,"LATR2","SCBR2"," ",965816.2125,1464.523314,119244.8327,5
129,"Polygon",130,13,"Gravelly","Loamy"," ",25616949.89,67,"PLMU3","SCBR2","PRGL2",1165251.326,3127.246209,92300.38117,1
130,"Polygon",131,14,"Gravelly","No ecosite"," ",3691543.348,43,"LATR2","FLCE","PLMU3",43342492.31,1582.623099,6575.297556,5
131,"Polygon",132,14,"Gravelly","No ecosite"," ",3691543.348,52,"LATR2","PRGL2","FLCE",47405692.14,2460.122103,109905.0338,5
132,"Polygon",133,15,"Gravelly","Shallow sandy"," ",145211.3922,42,"LATR2","FLCE","MUPO2",4064330.818,6007.056021,80146.30865,5
133,"Polygon",134,15,"Gravelly","Shallow sandy"," ",145211.3922,43,"LATR2","FLCE","PLMU3",43342492.31,701.271577,8670.769295,5
134,"Polygon",135,16,"Gravelly","Shallow sandy"," ",10817908.26,21,"FLCE","LATR2","LYBE",606360.9239,305.402898,4911.035926,2
135,"Polygon",136,16,"Gravelly","Shallow sandy"," ",10817908.26,22,"FLCE","LATR2","PLMU3",2217269.929,2841.189248,49837.54962,2
136,"Polygon",137,16,"Gravelly","Shallow sandy"," ",10817908.26,42,"LATR2","FLCE","MUPO2",4064330.818,13918.27448,3345747.775,5
137,"Polygon",138,16,"Gravelly","Shallow sandy"," ",10817908.26,43,"LATR2","FLCE","PLMU3",43342492.31,1210.689207,18193.75899,5
138,"Polygon",139,16,"Gravelly","Shallow sandy"," ",10817908.26,44,"LATR2","FLCE","PRGL2",4058201.27,5140.812597,1367637.968,5
139,"Polygon",140,16,"Gravelly","Shallow sandy"," ",10817908.26,52,"LATR2","PRGL2","FLCE",47405692.14,18357.23242,1877187.726,5
140,"Polygon",141,16,"Gravelly","Shallow sandy"," ",10817908.26,60,"PLMU3","MUPO2","LATR2",427479.9829,2005.51579,227114.4775,1
141,"Polygon",142,18,"Limestone hills","No ecosite"," ",125520706.8,1,"ARFI2","PRGL2","ARPU9",848488.8688,4494.769729,418422.2513,6
142,"Polygon",143,18,"Limestone hills","No ecosite"," ",125520706.8,12,"DAFO","LATR2","COWA",189431.8893,2000.492678,180728.261,6
143,"Polygon",144,18,"Limestone hills","No ecosite"," ",125520706.8,13,"DAFO","LATR2","PAIN2",813255.1138,4395.021766,520094.9674,6
144,"Polygon",145,18,"Limestone hills","No ecosite"," ",125520706.8,14,"DAFO","PAIN2","LATR2",568781.1563,3967.982981,453334.5552,3
145,"Polygon",146,18,"Limestone hills","No ecosite"," ",125520706.8,38,"LATR2"," "," ",814026.9469,211.732748,271.702815,5
146,"Polygon",147,18,"Limestone hills","No ecosite"," ",125520706.8,44,"LATR2","FLCE","PRGL2",4058201.27,403.564671,2069.074231,5
147,"Polygon",148,18,"Limestone hills","No ecosite"," ",125520706.8,52,"LATR2","PRGL2","FLCE",47405692.14,2301.599862,121248.096,5
148,"Polygon",149,18,"Limestone hills","No ecosite"," ",125520706.8,54,"LATR2","PRGL2","FLCE",25483520.6,2044.896453,16764.36834,5
149,"Polygon",150,18,"Limestone hills","No ecosite"," ",125520706.8,56,"LATR2","THAC","PAIN2",1442818.27,4348.142386,267334.9481,5
150,"Polygon",151,18,"Limestone hills","No ecosite"," ",125520706.8,102,"PRGL2","ARFI2","ATCA2",1621466.198,6203.439781,332427.6076,2
151,"Polygon",152,18,"Limestone hills","No ecosite"," ",125520706.8,103,"PRGL2","ARFI2","QUERCUS",4103591.474,13789.88703,355250.9301,2
152,"Polygon",153,18,"Limestone hills","No ecosite"," ",125520706.8,104,"PRGL2","ARFI2","SPFL2",508125.8644,880.478173,17880.45046,2
153,"Polygon",154,18,"Limestone hills","No ecosite"," ",125520706.8,109,"PRGL2","ATCA2","GUSA2",6681452.926,380.935968,2501.574452,2
154,"Polygon",155,18,"Limestone hills","No ecosite"," ",125520706.8,131,"PRGL2"," "," ",455271.0698,79.544661,251.822249,2
155,"Polygon",156,18,"Limestone hills","No ecosite"," ",125520706.8,132,"PRGL2","ATCA2"," ",61344184.43,8697.175842,271735.6456,2
156,"Polygon",157,19,"Loamy"," "," ",15362815.09,22,"FLCE","LATR2","PLMU3",2217269.929,3209.182513,19966.37857,2
157,"Polygon",158,19,"Loamy"," "," ",15362815.09,43,"LATR2","FLCE","PLMU3",43342492.31,47335.75442,1050929.871,2
158,"Polygon",159,19,"Loamy"," "," ",15362815.09,47,"LATR2","GUSA2","ERLE",1222034.019,5494.819196,1173467.019,2
159,"Polygon",160,19,"Loamy"," "," ",15362815.09,48,"LATR2","MUPO2","PRGL2",1829154.863,2555.184444,197718.3201,2
160,"Polygon",161,19,"Loamy"," "," ",15362815.09,52,"LATR2","PRGL2","FLCE",47405692.14,139807.7749,12085205.68,2
161,"Polygon",162,19,"Loamy"," "," ",15362815.09,55,"LATR2","SCBR2"," ",965816.2125,3280.492305,60116.43385,2
162,"Polygon",163,19,"Loamy"," "," ",15362815.09,82,"PRGL2","MUPO2","LATR2",1090007.922,12012.2615,696398.5803,4
163,"Polygon",164,19,"Loamy"," "," ",15362815.09,85,"PRGL2","PLMU3","MUPO2",147505.9077,464.969853,3953.809895,4
164,"Polygon",165,22,"Sandy"," "," ",326489.6776,73,"PRGL2","ARPU9","GUSA2",1581777.474,542.779167,10335.10968,1
165,"Polygon",166,22,"Sandy"," "," ",326489.6776,87,"PRGL2","PLMU3","SPAI",2179474.814,1385.024267,10696.35929,1
166,"Polygon",167,22,"Sandy"," "," ",326489.6776,95,"PRGL2","YUEL","ARPU9",3571571.024,1690.470062,31620.99639,1
167,"Polygon",168,22,"Sandy"," "," ",326489.6776,105,"PRGL2","ARPU9"," ",7035118.013,4364.059469,273837.2129,1
168,"Polygon",169,23,"Sandy"," "," ",3315708.291,43,"LATR2","FLCE","PLMU3",43342492.31,5158.757755,58630.58422,2
169,"Polygon",170,23,"Sandy"," "," ",3315708.291,52,"LATR2","PRGL2","FLCE",47405692.14,16408.54586,2714807.885,2
170,"Polygon",171,23,"Sandy"," "," ",3315708.291,54,"LATR2","PRGL2","FLCE",25483520.6,6924.586133,534325.9705,2
171,"Polygon",172,23,"Sandy"," "," ",3315708.291,55,"LATR2","SCBR2"," ",965816.2125,761.518509,7943.853298,2
172,"Polygon",173,24,"Sandy","Deep sand"," ",151764991,3,"ARPU9","SPFL2"," ",583649.5255,4691.127892,450386.0159,2
173,"Polygon",174,24,"Sandy","Deep sand"," ",151764991,4,"ATCA2","FLCE","PRGL2",104277.7595,2994.311424,104277.7595,6
174,"Polygon",175,24,"Sandy","Deep sand"," ",151764991,8,"BOER4","ARPU9","YUEL",1697371.497,3044.918739,420330.3783,1
175,"Polygon",176,24,"Sandy","Deep sand"," ",151764991,10,"BOER4","SCBR2","YUEL",206364.1524,47.148455,59.990034,1
176,"Polygon",177,24,"Sandy","Deep sand"," ",151764991,11,"BOER4","SPFL2","PRGL2",3191301.946,6172.386776,748223.5229,1
177,"Polygon",178,24,"Sandy","Deep sand"," ",151764991,15,"EPHEDRA","PRGL2","YUEL",56496.87696,1025.196005,56496.87696,6
178,"Polygon",179,24,"Sandy","Deep sand"," ",151764991,17,"EPHEDRA","PRGL2","YUEL",116963.9621,1241.856715,94928.07806,6
179,"Polygon",180,24,"Sandy","Deep sand"," ",151764991,18,"ERLE","SPFL2","YUEL",417972.6868,3398.813395,417972.6868,4
180,"Polygon",181,24,"Sandy","Deep sand"," ",151764991,28,"FLCE","PLMU3","SCBR2",7147095.878,3343.029663,300772.0141,2
181,"Polygon",182,24,"Sandy","Deep sand"," ",151764991,33,"FLCE","SCBR2","PLMU3",17413694.84,3787.244356,133972.4367,2
182,"Polygon",183,24,"Sandy","Deep sand"," ",151764991,34,"FLCE","SPAI","SCBR2",2576110.634,3649.963803,296618.4396,2
183,"Polygon",184,24,"Sandy","Deep sand"," ",151764991,35,"GUSA2","BOER4","YUEL",188418.1209,1451.411924,128149.5404,1
184,"Polygon",185,24,"Sandy","Deep sand"," ",151764991,37,"GUSA2","SPFL2","PRGL2",107411.9576,2041.457358,107411.9576,4
185,"Polygon",186,24,"Sandy","Deep sand"," ",151764991,45,"LATR2","FLCE","PRGL2",2099690.965,8653.491344,1124125.01,2
186,"Polygon",187,24,"Sandy","Deep sand"," ",151764991,53,"LATR2","PRGL2"," ",9460687.824,11043.09704,2616306.616,2
187,"Polygon",188,24,"Sandy","Deep sand"," ",151764991,54,"LATR2","PRGL2","FLCE",25483520.6,21739.68319,4741239.118,2
188,"Polygon",189,24,"Sandy","Deep sand"," ",151764991,57,"PLMU3"," "," ",397142.9198,1683.890685,51441.7736,1
