"OBJECTID..","Shape..","TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","Subres_are","ecosite1","ecosite2","ecosite3","esite","esite_alt","esite_alt2","state_code","State1","State2","State3","DomVeg","dom1","dom2","dom3","dom4","hist_state","grass_dur","ration","ration_dat","remarks","veri_esite","veri_state","esite_veri","state_veri","esite_corr","state_corr","date_chang","agency","person","corr_type","corr_reaso","chng_reaso","old_esite","old_state","old_remark","LU","Shape_Length","Shape_Area","FGString","Dom1FG","Dom2FG","Dom3FG","State1Char","State2Char","State3Char"
13,"Polygon","15","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","<Null>","<Null>",426,4,2,6,"SPFL2,ATCA2,PRGL2","SPFL2","ATCA2","PRGL2","VACO","640","perennial","existing point inventory data"," ","seed bank 235","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","640"," ","0",1692.121214,51005.75215,"PG,shrub,shrub","PG","shrub","shrub","ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
14,"Polygon","16","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",420,4,2,0,"SPFL2,PRGL2,YUEL","SPFL2","PRGL2","YUEL",NA,"400","perennial","existing point inventory data"," ","seed bank 212","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","400"," ","0",1890.556055,54992.88055,"PG,shrub,succulent","PG","shrub","succulent","ShrubInvadedGrassland","AlteredGrassland/Savanna",NA
15,"Polygon","17","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","<Null>","<Null>",624,6,2,4,"NA,NA,NA",NA,NA,NA,NA,"400","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","400"," ","0",3906.802605,242666.532,"NA,NA,NA",NA,NA,NA,"Shrubland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
16,"Polygon","20","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","<Null>","<Null>",240,2,4,0,"PRGL2,SPFL2,NA","PRGL2","SPFL2",NA,NA,"600","perennial","site visit"," ","seed bank 71","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","600"," ","0",779.34734,21371.39489,"shrub,PG,NA","shrub","PG",NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland",NA
17,"Polygon","21","47","NM690","42X","42.2","SD-2","Deep sand","Sandy","Shallow sandy","Sandy","Deep sand","<Null>",642,6,4,2,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","<Null>","<Null>","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","9/3/2019","USDA","LMB","ecosite","<Null>","<Null>","<Null>","600","<Null>","0",17112.4691,2446736.359,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","AlteredGrassland/Savanna"
18,"Polygon","22","818","NM690","42X","42.2","SD-2","Sandhills"," "," ","Deep sand","Sandhills"," ",652,6,5,2,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","<Null>","<Null>","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","7/27/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","600","<Null>","0",4460.265892,182894.0136,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubDominated","AlteredGrassland/Savanna"
19,"Polygon","25","915","NM690","42X","42.2","SD-2","Limestone hills","No ecosite"," ","Limestone hills","Hills"," ",563,5,6,3,"NA,NA,NA",NA,NA,NA,NA,"300","<Null>","photo interpretation","<Null>","Seed bank study 288","yes","yes","<Null>","<Null>","<Null>","<Null>","9/30/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","300","<Null>","0",53934.49374,2145685.101,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland","ShrubGrassMix"
20,"Polygon","26","915","NM690","42X","42.2","SD-2","Limestone hills","No ecosite"," ","Limestone hills","Gravelly"," ",563,5,6,3,"NA,NA,NA",NA,NA,NA,NA,"300","<Null>","photo interpretation","<Null>","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","7/31/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","300","<Null>","0",39731.745,1499605.376,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland","ShrubGrassMix"
21,"Polygon","27","916","NM690","42X","42.2","SD-2","Gravelly","No ecosite"," ","Limestone hills","Gravelly"," ",536,5,3,6,"NA,NA,NA",NA,NA,NA,NA,"500","<Null>","photo interpretation","<Null>","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","7/30/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","500","<Null>","0",10458.64906,431193.5407,"NA,NA,NA",NA,NA,NA,"ShrubDominated","ShrubGrassMix","Shrubland"
22,"Polygon","28","930","NM690","42X","42.2","SD-2","Draw","No ecosite"," ","Drainage","Draw"," ",567,5,6,7,"NA,,NA",NA,"",NA,NA,"500","<Null>","<Null>","<Null>","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","7/27/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","500","<Null>","0",5203.875252,164811.3773,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland","Bare/Annuals"
23,"Polygon","30","926","NM690","42X","42.2","SD-2","Gravelly"," "," ","Gravelly","Loamy","Limestone hills",563,5,6,3,"NA,NA,NA",NA,NA,NA,NA,"500","<Null>","photo interpretation","<Null>","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","11/11/2020","USDA","LMB","<Null>","<Null>","<Null>","<Null>","500","<Null>","0",41503.97453,740713.5122,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland","ShrubGrassMix"
24,"Polygon","31","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",420,4,2,0,"PRGL2,SPFL2,NA","PRGL2","SPFL2",NA,NA,"420","perennial","existing point inventory data"," ","seed bank 219","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","420"," ","0",534.9189,11015.3227,"shrub,PG,NA","shrub","PG",NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna",NA
25,"Polygon","32","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Shallow sandy","Sandy","<Null>",246,2,4,6,"NA,NA,NA",NA,NA,NA,NA,"140","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","140"," ","0",1103.016139,17481.50056,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Shrubland"
26,"Polygon","34","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","<Null>","<Null>",246,2,4,6,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","600"," ","0",9586.163355,928421.3702,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Shrubland"
27,"Polygon","36","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",240,2,4,0,"NA,NA,NA",NA,NA,NA,NA,"420","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","420"," ","0",4396.615193,249841.0931,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland",NA
28,"Polygon","38","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Deep sand","<Null>",642,6,4,2,"NA,NA,NA",NA,NA,NA,NA,"640","perennial","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","640"," ","0",7384.099373,392227.3526,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","AlteredGrassland/Savanna"
29,"Polygon","39","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","Deep sand","<Null>",624,6,2,4,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/10/2020","USDA","LMB"," "," "," "," ","600"," ","0",25857.22052,6405738.969,"NA,NA,NA",NA,NA,NA,"Shrubland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
30,"Polygon","40","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",426,4,2,6,"PRGL2,NA,NA","PRGL2",NA,NA,NA,"460","perennial","existing point inventory data"," ","Quadrat AR1, AR2","yes","yes","<Null>","<Null>","<Null>","<Null>","11/12/2020","USDA","LMB"," "," "," "," ","460"," ","0",12416.70579,1245891.286,"shrub,NA,NA","shrub",NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
31,"Polygon","41","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," "," ","yes","yes","<Null>","<Null>","<Null>","<Null>","11/16/2020","USDA","LMB"," "," "," "," ","600"," ","0",4869.543775,397206.1311,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
32,"Polygon","42","BJ","NM690","42X","42.2","SD-2","Sandy","Deep sand"," ","Sandy","Loamy","Deep sand",640,6,4,0,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","600"," ","0",5491.850364,336026.8261,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland",NA
33,"Polygon","43","WH","NM690","42X","42.2","SD-2","Sandy","Shallow sandy"," ","Sandy","Shallow sandy"," ",241,2,4,1,"NA,NA,NA",NA,NA,NA,NA,"100","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","100"," ","0",17600.96954,1388952.29,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Grassland"
34,"Polygon","45","ST","NM690","42X","42.2","SD-2","Clayey","Bottomland","Loamy","Loamy","Clayey","Bottomland",421,4,2,1,"NA,NA,NA",NA,NA,NA,NA,"120","<Null>","photo interpretation"," ","or Gyp upland","yes","yes","<Null>","<Null>","<Null>","<Null>","3/9/2021","USDA","LMB"," "," "," "," ","120"," ","0",3449.942607,139642.1303,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Grassland"
35,"Polygon","55","OR","NM690","42X","42.2","SD-2","Sandy","Deep sand"," ","Sandy","Deep sand","Drainage",624,6,2,4,"NA,NA,NA",NA,NA,NA,NA,"624","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/26/2019","USDA","LMB"," "," "," "," ","600"," ","0",11114.82253,1134690.798,"NA,NA,NA",NA,NA,NA,"Shrubland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
36,"Polygon","56","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Drainage","<Null>",642,6,4,2,"NA,NA,NA",NA,NA,NA,NA,"600","perennial","existing point inventory data"," ","Traverse, Seedbank","yes","yes","<Null>","<Null>","<Null>","<Null>","8/27/2020","USDA","LMB"," "," "," "," ","600"," ","0",21475.73506,1063899.942,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","AlteredGrassland/Savanna"
37,"Polygon","57","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Shallow sandy","Sandy"," ",426,4,2,6,"SPFL2,PRGL2,NA","SPFL2","PRGL2",NA,NA,"560","perennial","existing point inventory data"," ","seed bank 68","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","560"," ","0",7401.542622,311845.7319,"PG,shrub,NA","PG","shrub",NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
38,"Polygon","58","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Drainage","<Null>",642,6,4,2,"NA,NA,NA",NA,NA,NA,NA,"460","","<Null>"," ","also old state 500","no","no","<Null>","<Null>","<Null>","<Null>","7/20/2020","USDA","LMB"," "," "," "," ","460"," ","0",31318.30878,3766618.107,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","AlteredGrassland/Savanna"
39,"Polygon","60","BJ","NM690","42X","42.2","SD-2","Sandy","Deep sand"," ","Sandy","<Null>"," ",241,2,4,1,"NA,NA,NA",NA,NA,NA,NA,"146","perennial","existing point inventory data"," ","Traverse point","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","7/21/2020","USDA","LMB"," "," "," "," ","146"," ","0",17645.2282,1047439.248,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Grassland"
40,"Polygon","61","SH","NM690","42X","42.2","SD-2","Shallow sandy","Sandy"," ","Sandy","Shallow sandy"," ",642,6,4,2,"NA,,NA",NA,"",NA,NA,"600","perennial","photo interpretation"," ","state was 240 and 600","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","7/20/2020","USDA","LMB","ecosite"," "," "," ","600"," ","0",33771.77036,4688188.963,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","AlteredGrassland/Savanna"
41,"Polygon","62","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",124,1,2,4,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","existing point inventory data"," ","","yes","yes","<Null>","<Null>","<Null>","<Null>","7/20/2020","USDA","LMB"," "," "," "," ","400"," ","0",15933.86327,1620165.799,"NA,NA,NA",NA,NA,NA,"Grassland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
42,"Polygon","63","WH","NM690","42X","42.2","SD-2","Sandy","Shallow sandy"," ","Loamy","Sandy"," ",124,1,2,4,"NA,,NA",NA,"",NA,NA,"124","perennial","existing point inventory data"," ","Traverse points","yes","yes","<Null>","<Null>","<Null>","<Null>","8/11/2020","USDA","LMB"," "," "," "," ","124"," ","0",5130.688844,280087.0418,"NA,NA,NA",NA,NA,NA,"Grassland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
44,"Polygon","65","BJ","NM690","42X","42.2","SD-2","Sandy","Deep sand"," ","Sandy","Shallow sandy"," ",214,2,1,4,"NA,NA,NA",NA,NA,NA,NA,"400","<Null>","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","8/12/2020","USDA","LMB"," "," "," "," ","400"," ","0",6023.068137,600364.0952,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","Grassland","ShrubInvadedGrassland"
6500,"Polygon","1234","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Sandy","Loamy","Gravelly",640,6,4,0,"NA,NA,NA",NA,NA,NA,NA,"400","perennial","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","3/11/2021","USDA","LMB"," "," "," "," ","400"," ","0",486.374988,6002.733146,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland",NA
6502,"Polygon","1236","DR","NM690","42X","42.2","SD-2","Sandy","Loamy","Deep sand","Drainage","Loamy","Gravelly",657,6,5,7,"NA,NA,NA",NA,NA,NA,NA,"400","<Null>","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","11/9/2020","USDA","LMB"," "," "," "," ","400"," ","0",413.884099,5302.545128,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubDominated","Bare/Annuals"
45,"Polygon","66","BK","NM690","42X","42.2","SD-2","Sandy","Loamy","Clayey","Loamy","Clayey","Bottomland",647,6,4,7,"NA,,NA",NA,"",NA,NA,"240","perennial","existing point inventory data"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","7/23/2020","USDA","LMB"," "," "," "," ","240"," ","0",3059.778919,174975.642,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland","Bare/Annuals"
46,"Polygon","67","ST","NM690","42X","42.2","SD-2","Clayey","Bottomland","Loamy","Clayey","Loamy","Bottomland",247,2,4,7,"NA,NA,NA",NA,NA,NA,NA,"246","perennial","<Null>"," ","5 polygons: Loamy 140, 2x147, 170, 710","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","3/8/2021","USDA","LMB"," "," "," "," ","246"," ","0",2591.02465,117813.3098,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Bare/Annuals"
47,"Polygon","68","NU","NM690","42X","42.2","SD-2","Gravelly","Shallow sandy"," ","Drainage","Draw","Gravelly",567,5,6,7,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","11/5/2020","USDA","LMB"," "," "," "," ","600","<Null>","0",39849.03237,561208.8054,"NA,NA,NA",NA,NA,NA,"ShrubDominated","Shrubland","Bare/Annuals"
48,"Polygon","69","RG","NM690","42X","42.2","SD-2","Rock land"," "," ","Hills","Gravelly loam"," ",536,5,3,6,"NA,NA,NA",NA,NA,NA,NA,"300","perennial","site visit"," ","<Null>","yes","yes","<Null>","<Null>","<Null>","<Null>","7/29/2020","USDA","LMB"," "," "," "," ","300"," ","0",6594.748578,199457.9197,"NA,NA,NA",NA,NA,NA,"ShrubDominated","ShrubGrassMix","Shrubland"
49,"Polygon","70","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","Deep sand","<Null>",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"400","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","400"," ","0",637.071614,9781.099369,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
50,"Polygon","72","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","<Null>"," ",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"560","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","560"," ","0",3343.772552,96728.70983,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
51,"Polygon","73","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Playette","Bottomland","Sandy",426,4,2,6,"NA,NA,NA",NA,NA,NA,NA,"620","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","620"," ","0",10176.78877,221247.1396,"NA,NA,NA",NA,NA,NA,"ShrubInvadedGrassland","AlteredGrassland/Savanna","Shrubland"
52,"Polygon","74","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy"," ","Sandy","Shallow sandy"," ",420,4,2,0,"MUPO2,PRGL2,DAPU7","MUPO2","PRGL2","DAPU7","SPFL2","500","perennial","site visit"," ","seed bank 62","yes","yes","<Null>","<Null>","<Null>","<Null>","11/13/2020","USDA","LMB"," "," "," "," ","500"," ","0",4167.536521,379115.9193,"PG,shrub,PG","PG","shrub","PG","ShrubInvadedGrassland","AlteredGrassland/Savanna",NA
53,"Polygon","78","WP","NM690","42X","42.2","SD-2","Deep sand","Shallow sandy","Deep sand","Sandy","Deep sand","<Null>",640,6,4,0,"NA,NA,NA",NA,NA,NA,NA,"600","<Null>","photo interpretation"," ","","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","600"," ","0",564.341025,10540.57256,"NA,NA,NA",NA,NA,NA,"Shrubland","ShrubInvadedGrassland",NA
54,"Polygon","79","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",124,1,2,4,"NA,NA,NA",NA,NA,NA,NA,"400","<Null>","photo interpretation"," ","<Null>","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","400"," ","0",3509.966948,413475.3823,"NA,NA,NA",NA,NA,NA,"Grassland","AlteredGrassland/Savanna","ShrubInvadedGrassland"
55,"Polygon","80","OP","NM690","42X","42.2","SD-2","Sandy","Deep sand","Shallow sandy","Sandy","Shallow sandy","<Null>",241,2,4,1,"NA,NA,NA",NA,NA,NA,NA,"140","<Null>","photo interpretation"," "," ","no","no","<Null>","<Null>","<Null>","<Null>","11/18/2020","USDA","LMB"," "," "," "," ","140"," ","0",3871.23431,109216.4962,"NA,NA,NA",NA,NA,NA,"AlteredGrassland/Savanna","ShrubInvadedGrassland","Grassland"
