OBJECTID *,Shape *,TARGET_FID,soil_mu,SSURGO_dat,MLRA,LRU,Subres_are,ecosite1,ecosite2,ecosite3,esite,esite_alt,esite_alt2,state_code,dom1,dom2,dom3,dom4,hist_state,grass_dur,ration,ration_dat,remarks,veri_esite,veri_state,esite_veri,state_veri,esite_corr,state_corr,date_chang,agency,person,corr_type,corr_reaso,chng_reaso,old_esite,old_state,old_remark,LU,Shape_Length,Shape_Area
20,Polygon,26,915,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Limestone hills,Gravelly, ,563,<Null>,<Null>,<Null>,<Null>,300,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/31/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,300,<Null>,0,39731.745,1499605.376
21,Polygon,27,916,NM690,42X,42.2,SD-2,Gravelly,No ecosite, ,Limestone hills,Gravelly, ,536,<Null>,<Null>,<Null>,<Null>,500,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/30/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,10458.64906,431193.5407
22,Polygon,28,930,NM690,42X,42.2,SD-2,Draw,No ecosite, ,Drainage,Draw, ,567,<Null>,,<Null>, ,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,5203.875252,164811.3773
23,Polygon,30,926,NM690,42X,42.2,SD-2,Gravelly, , ,Gravelly,Loamy,Limestone hills,563,<Null>,<Null>,<Null>,<Null>,500,<Null>,photo interpretation,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,11/11/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,41503.97453,740713.5122
24,Polygon,31,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,420,PRGL2 - honey mesquite,SPFL2 - mesa dropseed, ,<Null>,420,perennial,existing point inventory data, ,seed bank 219,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,420, ,0,534.9189,11015.3227
25,Polygon,32,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Shallow sandy,Sandy,<Null>,246, ,<Null>, ,<Null>,140,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,140, ,0,1103.016139,17481.50056
26,Polygon,34,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,<Null>,<Null>,246, ,<Null>, ,<Null>,600,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,600, ,0,9586.163355,928421.3702
27,Polygon,36,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,240, ,<Null>, ,<Null>,420,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,420, ,0,4396.615193,249841.0931
28,Polygon,38,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Deep sand,<Null>,642, ,<Null>, ,<Null>,640,perennial,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,640, ,0,7384.099373,392227.3526
29,Polygon,39,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,Deep sand,<Null>,624, ,<Null>, ,<Null>,600,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/10/2020,USDA,LMB, , , , ,600, ,0,25857.22052,6405738.969
30,Polygon,40,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,426,PRGL2 - honey mesquite,<Null>,<Null>,<Null>,460,perennial,existing point inventory data, ,"Quadrat AR1, AR2",yes,yes,<Null>,<Null>,<Null>,<Null>,11/12/2020,USDA,LMB, , , , ,460, ,0,12416.70579,1245891.286
31,Polygon,41,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,426, ,<Null>, ,<Null>,600,<Null>,photo interpretation, , ,yes,yes,<Null>,<Null>,<Null>,<Null>,11/16/2020,USDA,LMB, , , , ,600, ,0,4869.543775,397206.1311
32,Polygon,42,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Loamy,Deep sand,640, ,<Null>, ,<Null>,600,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,600, ,0,5491.850364,336026.8261
33,Polygon,43,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Shallow sandy, ,241, ,<Null>, ,<Null>,100,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,100, ,0,17600.96954,1388952.29
34,Polygon,45,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Loamy,Clayey,Bottomland,421,<Null>,<Null>,<Null>,<Null>,120,<Null>,photo interpretation, ,or Gyp upland,yes,yes,<Null>,<Null>,<Null>,<Null>,3/9/2021,USDA,LMB, , , , ,120, ,0,3449.942607,139642.1303
35,Polygon,55,OR,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Deep sand,Drainage,624, ,<Null>, ,<Null>,624,perennial,existing point inventory data, ,Traverse points,yes,yes,<Null>,<Null>,<Null>,<Null>,8/26/2019,USDA,LMB, , , , ,600, ,0,11114.82253,1134690.798
36,Polygon,56,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Drainage,<Null>,642, ,<Null>, ,<Null>,600,perennial,existing point inventory data, ,"Traverse, Seedbank",yes,yes,<Null>,<Null>,<Null>,<Null>,8/27/2020,USDA,LMB, , , , ,600, ,0,21475.73506,1063899.942
37,Polygon,57,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Shallow sandy,Sandy, ,426,SPFL2 - mesa dropseed,PRGL2 - honey mesquite,<Null>,<Null>,560,perennial,existing point inventory data, ,seed bank 68,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,560, ,0,7401.542622,311845.7319
38,Polygon,58,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Drainage,<Null>,642, ,<Null>, ,<Null>,460,,<Null>, ,also old state 500,no,no,<Null>,<Null>,<Null>,<Null>,7/20/2020,USDA,LMB, , , , ,460, ,0,31318.30878,3766618.107
39,Polygon,60,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,<Null>, ,241, ,<Null>, ,<Null>,146,perennial,existing point inventory data, ,Traverse point,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7/21/2020,USDA,LMB, , , , ,146, ,0,17645.2282,1047439.248
40,Polygon,61,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Sandy,Shallow sandy, ,642, ,, , ,600,perennial,photo interpretation, ,state was 240 and 600,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,7/20/2020,USDA,LMB,ecosite, , , ,600, ,0,33771.77036,4688188.963
41,Polygon,62,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,124,<Null>,<Null>,<Null>,<Null>,400,perennial,existing point inventory data, ,,yes,yes,<Null>,<Null>,<Null>,<Null>,7/20/2020,USDA,LMB, , , , ,400, ,0,15933.86327,1620165.799
42,Polygon,63,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Loamy,Sandy, ,124, ,, , ,124,perennial,existing point inventory data, ,Traverse points,yes,yes,<Null>,<Null>,<Null>,<Null>,8/11/2020,USDA,LMB, , , , ,124, ,0,5130.688844,280087.0418
44,Polygon,65,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Shallow sandy, ,214,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/12/2020,USDA,LMB, , , , ,400, ,0,6023.068137,600364.0952
6500,Polygon,1234,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Sandy,Loamy,Gravelly,640,<Null>,<Null>,<Null>,<Null>,400,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,3/11/2021,USDA,LMB, , , , ,400, ,0,486.374988,6002.733146
6502,Polygon,1236,DR,NM690,42X,42.2,SD-2,Sandy,Loamy,Deep sand,Drainage,Loamy,Gravelly,657,<Null>,<Null>,<Null>,<Null>,400,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/9/2020,USDA,LMB, , , , ,400, ,0,413.884099,5302.545128
45,Polygon,66,BK,NM690,42X,42.2,SD-2,Sandy,Loamy,Clayey,Loamy,Clayey,Bottomland,647, ,, , ,240,perennial,existing point inventory data, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,7/23/2020,USDA,LMB, , , , ,240, ,0,3059.778919,174975.642
46,Polygon,67,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Clayey,Loamy,Bottomland,247,<Null>,<Null>,<Null>,<Null>,246,perennial,<Null>, ,"5 polygons: Loamy 140, 2x147, 170, 710",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3/8/2021,USDA,LMB, , , , ,246, ,0,2591.02465,117813.3098
47,Polygon,68,NU,NM690,42X,42.2,SD-2,Gravelly,Shallow sandy, ,Drainage,Draw,Gravelly,567, ,<Null>, ,<Null>,600,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/5/2020,USDA,LMB, , , , ,600,<Null>,0,39849.03237,561208.8054
48,Polygon,69,RG,NM690,42X,42.2,SD-2,Rock land, , ,Hills,Gravelly loam, ,536,<Null>,<Null>,<Null>,<Null>,300,perennial,site visit, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,7/29/2020,USDA,LMB, , , , ,300, ,0,6594.748578,199457.9197
49,Polygon,70,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,Deep sand,<Null>,426, ,<Null>, ,<Null>,400,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,400, ,0,637.071614,9781.099369
50,Polygon,72,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,<Null>, ,426, ,<Null>, ,<Null>,560,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,560, ,0,3343.772552,96728.70983
51,Polygon,73,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Playette,Bottomland,Sandy,426, ,<Null>, ,<Null>,620,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,620, ,0,10176.78877,221247.1396
52,Polygon,74,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Sandy,Shallow sandy, ,420,MUPO2 - bush muhly,PRGL2 - honey mesquite,DAPU7 - fluffgrass,SPFL2 - mesa dropseed,500,perennial,site visit, ,seed bank 62,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,500, ,0,4167.536521,379115.9193
53,Polygon,78,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy,Deep sand,Sandy,Deep sand,<Null>,640, ,<Null>, ,<Null>,600,<Null>,photo interpretation, ,,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,600, ,0,564.341025,10540.57256
54,Polygon,79,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,124, ,<Null>, ,<Null>,400,<Null>,photo interpretation, ,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,400, ,0,3509.966948,413475.3823
55,Polygon,80,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,241, ,<Null>, ,<Null>,140,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,140, ,0,3871.23431,109216.4962
56,Polygon,82,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,421,BOER4 - black grama,PRGL2 - honey mesquite,SPFL2 - mesa dropseed,<Null>,460,perennial,existing point inventory data, ,"Ecotone P9E L4, Seedbank 273",yes,yes,<Null>,<Null>,<Null>,<Null>,11/17/2020,USDA,LMB, , , , ,460, ,0,6395.91403,229493.332
57,Polygon,85,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy, ,Shallow sandy,Sandy, ,426,PRGL2 - honey mesquite,MUPO2 - bush muhly,DAPU7 - fluffgrass,GUSA2 - broom snakeweed,410,perennial,photo interpretation, ,seed bank 215,yes,yes,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,410, ,0,1975.775527,83374.06838
58,Polygon,88,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy,Shallow sandy,Sandy,<Null>,<Null>,426,<Null>,<Null>, ,<Null>,600,<Null>,existing point inventory data, ,traverse 240,no,no,<Null>,<Null>,<Null>,<Null>,11/13/2020,USDA,LMB, , , , ,600, ,0,4726.520355,264961.2802
59,Polygon,89,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy,Shallow sandy,Tank,<Null>,<Null>,12, ,<Null>, ,<Null>,700,<Null>,photo interpretation, ,,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,700, ,0,297.420845,4281.250776
60,Polygon,90,WP,NM690,42X,42.2,SD-2,Deep sand,Shallow sandy,Deep sand,Tank,<Null>,<Null>,12,<Null>,     , ,<Null>,600,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,600, ,0,498.353232,6255.574661
61,Polygon,91,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Shallow sandy, ,214,<Null>,<Null>, ,<Null>,240,perennial,existing point inventory data, ,MURV 062204_6,yes,yes,<Null>,<Null>,<Null>,<Null>,11/16/2020,USDA,LMB, , , , ,240, ,0,3942.956949,297944.0433
62,Polygon,92,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Shallow sandy, ,241, ,<Null>, ,<Null>,460,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,460, ,0,1840.938683,48029.27083
63,Polygon,94,WH,NM690,42X,42.2,SD-2,Sandy,Shallow sandy, ,Sandy,Shallow sandy, ,214, ,<Null>, ,<Null>,124,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,124, ,0,151.086935,1422.968464
64,Polygon,95,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,241, ,<Null>, ,<Null>,140,perennial,existing point inventory data, ,Traverse JER JM3,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,140, ,0,3628.01177,169281.5394
65,Polygon,96,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Playette,Sandy,<Null>,426, ,<Null>, ,<Null>,420,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,420, ,0,891.295435,26383.136
66,Polygon,97,OP,NM690,42X,42.2,SD-2,Sandy,Deep sand,Shallow sandy,Sandy,Shallow sandy,<Null>,124, ,<Null>, ,<Null>,124,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,124, ,0,323.533146,6058.549675
67,Polygon,101,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Tank,<Null>,<Null>,12, ,<Null>, ,<Null>,12,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,7/30/2020,USDA,LMB, , , , ,12, ,0,270.479488,3757.718626
68,Polygon,102,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Loamy,Sandy,Bottomland,246, ,<Null>, ,<Null>,400,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,3/9/2021,USDA,LMB, , , , ,400, ,0,1613.717887,62550.53973
69,Polygon,103,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Tank,<Null>,<Null>,12, ,<Null>, ,<Null>,12,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,7/30/2020,USDA,LMB, , , , ,12, ,0,669.853074,14424.66143
70,Polygon,104,ST,NM690,42X,42.2,SD-2,Clayey,Bottomland,Loamy,Loamy,Sandy,Bottomland,420, ,<Null>, ,<Null>,400,perennial,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,9/16/2020,USDA,LMB, , , , ,400, ,0,1063.186944,35273.90328
71,Polygon,105,BJ,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Bottomland,Loamy,Clayey,247, ,<Null>, ,<Null>,240,<Null>,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,9/16/2020,USDA,LMB, , , , ,240, ,0,1755.746626,46275.27339
72,Polygon,109,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Shallow sandy,Sandy, ,426,BOER4 - black grama,PRGL2 - honey mesquite,SPFL2 - mesa dropseed,<Null>,460,perennial,existing point inventory data, ,seedbnk 274,yes,yes,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,460, ,0,4060.179019,169425.1577
73,Polygon,110,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Shallow sandy,Sandy, ,421,PRGL2 - honey mesquite,BOER4 - black grama,DAPU7 - fluffgrass,YUEL - soaptree yucca,410,perennial,existing point inventory data, ,seedbank 269,yes,yes,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,410, ,0,734.945846,18455.15937
74,Polygon,111,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Playette,Bottomland,Sandy,642, ,<Null>, ,<Null>,620,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,620, ,0,859.328585,19726.42205
75,Polygon,113,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Sandy,Shallow sandy, ,426, ,<Null>, ,<Null>,620,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,620, ,0,1534.862647,36434.92897
76,Polygon,115,SH,NM690,42X,42.2,SD-2,Shallow sandy,Sandy, ,Sandy,Shallow sandy, ,462, ,<Null>, ,<Null>,460,<Null>,existing point inventory data, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,11/18/2020,USDA,LMB, , , , ,460, ,0,1783.538692,65262.81597
77,Polygon,116,OR,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,<Null>, ,246, ,<Null>, ,<Null>,600,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,8/14/2020,USDA,LMB, , , , ,600, ,0,3168.349876,231986.3263
78,Polygon,118,OR,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,<Null>, ,640, ,<Null>, ,<Null>,600,perennial,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,8/17/2020,USDA,LMB, , , , ,600, ,0,829.033069,19952.74871
79,Polygon,119,OR,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Sandy,Deep sand, ,246, ,<Null>, ,<Null>,460,perennial,photo interpretation, ,<Null>,yes,yes,<Null>,<Null>,<Null>,<Null>,8/14/2020,USDA,LMB, , , , ,460, ,0,11374.74859,754478.6555
80,Polygon,120,OR,NM690,42X,42.2,SD-2,Sandy,Deep sand, ,Playette,Sandy,Bottomland,642, ,<Null>, ,<Null>,620,<Null>,photo interpretation, , ,no,no,<Null>,<Null>,<Null>,<Null>,8/17/2020,Other,LMB, , , , ,620, ,0,18680.29405,490251.275
